id,term,positive_score,nagative_score
358,건물,0.00264,0.00275
359,건방,0.0006,0
360,건방지다,0.00045,0.00157
361,건설,0.00075,0.00039
362,건성,0.00023,0.00196
363,건의,0.00045,0.00118
364,건재,0.00075,0.00039
365,건전,0.00038,0.00079
366,건조,0.00497,0.00746
367,건지다,0.00339,0.00785
368,건축,0.01749,0.01532
369,건투,0.0003,0.00118
370,건필,0.00083,0
371,걷다,0.03339,0.02749
372,걷어차다,0.00053,0.00039
373,걸다,0.00452,0.0106
374,걸레,0.00038,0.00118
375,걸려들다,0.00045,0.00039
376,걸리다,0.0294,0.03731
377,걸맞다,0.00543,0.00589
378,걸어가다,0.00392,0.00196
379,걸어다니다,0.00068,0
380,걸어오다,0.00219,0
381,걸음,0.01673,0.00471
382,걸이,0.00204,0.00118
383,걸작,0.00987,0.00785
384,걸작선,0.00068,0
385,걸치다,0.00822,0.011
386,검다,0.00724,0.00628
387,검사,0.00633,0.00353
388,검색,0.01515,0.01767
389,검수,0.00083,0.0106
390,검열,0.00098,0.00432
391,검은,0.00045,0.00118
392,검정,0.00324,0.00079
393,검증,0.00399,0.00864
394,검찰,0.00302,0.00196
395,검출,0.00053,0
396,검토,0.00113,0.00314
397,겁나다,0.00324,0.00707
398,겁내다,0.00083,0
399,겁먹다,0.0009,0.00118
400,겉다,0.0006,0.00118
401,겉돌다,0.00053,0.00314
402,겉핥다,0.00113,0.00785
403,게다가,0.01379,0.02081
404,게스트,0.0003,0.00157
405,게시,0.00226,0.00275
406,게으르다,0.00234,0.00353
407,게으름,0.00354,0.00471
408,게을리,0.0006,0.00039
409,게이,0.00121,0.00118
410,게이고,0.02344,0.02945
411,게이츠,0.00106,0.00157
412,게이코,0.00068,0.00118
413,게임,0.0303,0.02003
414,게재,0.00045,0.00079
415,겐자부로,0.00151,0.00079
416,겨냥,0.00023,0.00157
417,겨레,0.00173,0.00275
418,겨우,0.00475,0.01178
419,겨우겨우,0.0006,0.00236
420,겨울,0.02518,0.00628
421,격다,0.00068,0.00039
422,격동,0.00121,0
423,격려,0.0058,0.00118
424,격변,0.00098,0.00079
425,격언,0.00075,0.00157
426,격정,0.00136,0.00079
427,격조,0.00068,0
428,격차,0.00211,0.00275
429,격하다,0.00324,0.00432
430,겪다,0.04108,0.0267
431,견고,0.0009,0.00118
432,견과,0.0006,0.00079
433,견디다,0.01379,0.01257
434,견문,0.00068,0.00039
435,견제,0.00045,0.00039
436,견주다,0.00121,0.00118
437,견지,0.0003,0.00118
438,견해,0.00317,0.00785
